AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-0.065551758,0.990966797,0.131469727,-0.057938003,0.054289599,0.043163191
-0.050292969,0.991821289,0.136962891,-0.019567406,0.040167087,0.040765029
-0.040527344,1.001464844,0.129150391,0.023199822,0.037635694,0.005059057
-0.041870117,1.024536133,0.128295898,0.059172257,0.063482554,-0.034910316
-0.046142578,1.019775391,0.130371094,0.073561231,0.087330947,-0.04610174
-0.053588867,1.000244141,0.139770508,0.083420343,0.107182401,-0.056760239
-0.047241211,1.012939453,0.163818359,0.081022181,0.096124208,-0.062489182
-0.04296875,1.0390625,0.152832031,0.090081905,0.041366169,-0.102991479
-0.037353516,1.043579102,0.143432617,0.068365213,0.01578577,-0.141895002
-0.034667969,1.031860352,0.145263672,-0.010507681,0.045096643,-0.154685201
-0.04296875,1.036376953,0.150756836,-0.081519933,0.090395265,-0.13310174
-0.059936523,1.037719727,0.153320313,-0.121222842,0.068012417,-0.087003731
-0.057983398,1.023193359,0.157226563,-0.140408141,-0.004065685,-0.044636196
-0.0625,1.012451172,0.149414063,-0.141473991,-0.028979927,-0.025850591
-0.059204102,1.021362305,0.131469727,-0.113628662,-0.042303051,0.007723681
-0.055908203,1.023071289,0.139770508,-0.056872153,-0.047232606,0.019314799
-0.063476563,1.008544922,0.136962891,0.004147755,-0.02724792,0.030239761
-0.072265625,0.989990234,0.146240234,0.05197777,0.020448864,0.042363804
-0.075805664,0.97265625,0.173950195,0.095810849,0.032306444,0.039432717
-0.07409668,0.975830078,0.1796875,0.125654646,-0.030711933,0.010121844
-0.065429688,0.97668457,0.184082031,0.131783283,-0.0518957,0.000129501
-0.067016602,0.977783203,0.167236328,0.115129378,-0.016589421,-0.029181372
-0.060546875,0.969848633,0.192260742,0.080356025,0.037768925,-0.052896533
-0.054321289,0.976074219,0.178466797,0.028529072,0.095458052,-0.093265599
-0.052124023,0.973266602,0.183227539,-0.045947191,0.147018542,-0.139763302
-0.0625,0.981445313,0.16796875,-0.088581188,0.15541211,-0.151754114
-0.072021484,0.981567383,0.15625,-0.152265721,0.162739829,-0.138164527
-0.086425781,0.987304688,0.141845703,-0.177046732,0.154346261,-0.112051204
-0.085083008,0.998779297,0.150756836,-0.198097268,0.100121146,-0.058225783
-0.078125,1.013549805,0.154296875,-0.184907375,0.067612723,-0.040239565
-0.071044922,1.009155273,0.147216797,-0.141607222,0.02644427,-0.027582597
-0.061523438,0.991943359,0.139526367,-0.124686855,0.030974132,-0.02358566
-0.055053711,0.999023438,0.135986328,-0.099106456,0.107981789,-0.019855185
-0.044555664,1.022583008,0.152832031,-0.071660821,0.167669385,-0.035043547
-0.046875,1.045776367,0.158691406,-0.023431112,0.294771988,-0.072881219
-0.058227539,1.035766602,0.176879883,-0.004778738,0.349663259,-0.086204343
-0.067382813,1.021362305,0.186401367,-0.013838462,0.406552999,-0.098328386
-0.07434082,1.022338867,0.204956055,-0.048611816,0.374311039,-0.104856717
-0.083007813,1.000854492,0.184814453,-0.121089611,0.330611192,-0.066086426
-0.079956055,1.007324219,0.188232422,-0.150666947,0.347664791,-0.034377391
-0.096801758,1.023071289,0.187133789,-0.163190683,0.340736766,0.025443436
-0.139282227,1.224853516,-0.873901367,0.665507633,-0.468243327,0.115774218
-0.023925781,0.705810547,0.658325195,0.804601049,-0.267996772,0.188118781
0.047119141,0.881469727,0.567504883,0.261683743,0.174464178,0.164536852
-0.073486328,1.117553711,0.012939453,0.093545917,0.586548405,0.104316331
-0.115112305,0.998535156,0.184326172,0.012008398,0.546445802,0.081800251
-0.100097656,0.94128418,0.247192383,-0.222078892,0.17686234,0.079002395
-0.096557617,0.987182617,0.219848633,-0.359706763,-0.179397997,0.04942506
-0.088378906,1.032714844,0.16796875,-0.369565875,-0.275724184,0.023578199
-0.100219727,1.043945313,0.174194336,-0.359573532,-0.26879616,-0.004933286
-0.101928711,1.063720703,0.152832031,-0.298953317,-0.06695083,-0.003867436
